"日付け","終値","始値","高値","安値","前日比%"
"2017年02月22日","126,921","126,710","127,846","116,391","0.17"
"2017年02月21日","126,710","122,236","127,029","117,384","3.66"
"2017年02月20日","122,236","119,953","122,236","117,557","1.90"
"2017年02月19日","119,953","119,237","120,600","117,740","0.60"
"2017年02月18日","119,237","119,621","120,386","116,870","-0.32"
"2017年02月17日","119,621","117,793","120,364","115,234","1.55"
"2017年02月16日","117,793","115,011","118,589","113,911","2.42"
"2017年02月15日","115,011","113,435","116,940","113,435","1.39"
"2017年02月14日","113,435","113,723","116,439","105,153","-0.25"
"2017年02月13日","113,723","114,136","118,554","110,554","-0.36"
"2017年02月12日","114,136","113,186","116,195","112,416","0.84"
"2017年02月11日","113,186","113,220","115,548","108,238","-0.03"
"2017年02月10日","113,220","113,402","122,519","108,226","-0.16"
"2017年02月09日","113,402","116,776","122,290","107,105","-2.89"
"2017年02月08日","116,776","118,068","121,771","114,123","-1.09"
"2017年02月07日","118,068","114,746","118,774","111,772","2.89"
"2017年02月06日","114,746","113,506","115,701","113,112","1.09"
"2017年02月05日","113,506","114,385","115,879","112,107","-0.77"
"2017年02月04日","114,385","114,659","115,351","111,859","-0.24"
"2017年02月03日","114,659","112,163","115,677","109,301","2.23"
"2017年02月02日","112,163","111,019","112,667","107,061","1.03"
"2017年02月01日","111,019","108,192","111,618","99,136","2.61"
"2017年01月31日","108,192","104,284","108,268","99,136","3.75"
"2017年01月30日","104,284","104,916","105,471","102,878","-0.60"
"2017年01月29日","104,916","105,252","106,315","104,718","-0.32"
"2017年01月28日","105,252","104,000","106,315","103,957","1.20"
"2017年01月27日","104,000","103,490","106,014","102,244","0.49"
"2017年01月26日","103,490","100,057","105,420","99,920","3.43"
"2017年01月25日","100,057","101,589","104,243","100,000","-1.51"
"2017年01月24日","101,589","103,728","104,698","100,952","-2.06"
"2017年01月23日","103,728","104,470","105,811","99,967","-0.71"
"2017年01月22日","104,470","105,004","106,564","95,296","-0.51"
"2017年01月21日","105,004","103,508","106,001","100,557","1.45"
"2017年01月20日","103,508","103,643","105,818","100,307","-0.13"
"2017年01月19日","103,643","99,016","105,316","98,331","4.67"
"2017年01月18日","99,016","102,392","105,363","93,754","-3.30"
"2017年01月17日","102,392","94,857","103,061","90,691","7.94"
"2017年01月16日","94,857","92,499","95,406","88,312","2.55"
"2017年01月15日","92,499","91,614","102,590","88,284","0.97"
"2017年01月14日","91,614","93,878","102,590","89,315","-2.41"
"2017年01月13日","93,878","93,497","94,444","88,273","0.41"
"2017年01月12日","93,497","88,836","105,975","87,043","5.25"
"2017年01月11日","88,836","105,266","106,858","88,645","-15.61"
"2017年01月10日","105,266","106,400","106,400","102,437","-1.07"
"2017年01月09日","106,400","110,455","110,746","101,983","-3.67"
"2017年01月08日","110,455","105,381","112,326","95,069","4.81"
"2017年01月07日","105,381","108,571","114,603","95,080","-2.94"
"2017年01月06日","108,571","112,744","137,394","98,672","-3.70"
"2017年01月05日","112,744","130,010","139,065","101,769","-13.28"
"2017年01月04日","130,010","115,396","130,167","114,740","12.66"
"2017年01月03日","115,396","116,707","121,367","114,291","-1.12"
"2017年01月02日","116,707","114,101","118,165","111,027","2.28"
"2017年01月01日","114,101","111,316","114,594","108,568","2.50"
